Date,Close,High,Low,Open,Volume,Adj Close,Daily_Return,MA_20,MA_50,MA_200,Volatility_20,Year,Month,Day_of_Week,Quarter
29-01-2016,106.95,107.0,106.26,106.61,8098700,106.95,NA,NA,NA,NA,NA,2016,1,4,1
01-02-2016,108.05,108.15,107.53,107.54,10471800,108.05,102.8523735,NA,NA,NA,NA,2016,2,0,1
02-02-2016,108.09,108.18,107.35,107.92,6656000,108.09,3.7013683,NA,NA,NA,NA,2016,2,1,1
03-02-2016,109.25,109.58,107.9,107.91,15785200,109.25,107.3183182,NA,NA,NA,NA,2016,2,2,1
04-02-2016,110.57,110.7,109.92,110.45,13213700,110.57,120.82377070000001,NA,NA,NA,NA,2016,2,3,1
05-02-2016,112.32,112.35,109.58,109.79,14777300,112.32,158.2707791,NA,NA,NA,NA,2016,2,4,1
08-02-2016,113.83,114.87,113.39,113.67,28341200,113.83,134.4375125,NA,NA,NA,NA,2016,2,0,1
09-02-2016,113.58,114.69,113.55,114.43,18156700,113.58,-21.962575400000002,NA,NA,NA,NA,2016,2,1,1
10-02-2016,114.46,114.52,112.98,113.92,13311100,114.46,77.4781862,NA,NA,NA,NA,2016,2,2,1
11-02-2016,119.06,120.84,117.77,118.59,49139000,119.06,401.886992,NA,NA,NA,NA,2016,2,3,1
12-02-2016,118.36,118.74,117.88,118.12,16981200,118.36,-58.7936303,NA,NA,NA,NA,2016,2,4,1
16-02-2016,114.77,116.31,114.74,116.0,14601700,114.77,-303.3122633,NA,NA,NA,NA,2016,2,1,1
17-02-2016,115.48,116.07,114.89,115.47,10582400,115.48,61.863442899999995,NA,NA,NA,NA,2016,2,2,1
18-02-2016,118.29,118.6,115.29,115.3,13586500,118.29,243.3319602,NA,NA,NA,NA,2016,2,3,1
19-02-2016,117.58,117.97,117.1,117.26,15192000,117.58,-60.021902000000004,NA,NA,NA,NA,2016,2,4,1
22-02-2016,115.49,116.19,115.41,115.44,10677800,115.49,-177.75165289999998,NA,NA,NA,NA,2016,2,0,1
23-02-2016,117.22,117.42,116.52,116.68,9033400,117.22,149.7968126,NA,NA,NA,NA,2016,2,1,1
24-02-2016,117.61,119.86,117.35,119.0,17938800,117.61,33.2707205,NA,NA,NA,NA,2016,2,2,1
25-02-2016,117.92,118.91,117.54,117.62,12500300,117.92,26.3580951,NA,NA,NA,NA,2016,2,3,1
26-02-2016,117.11,117.72,115.86,117.43,12505100,117.11,-68.6904317,114.3,NA,NA,NA,2016,2,4,1
29-02-2016,118.64,118.7,117.53,117.59,11517500,118.64,130.6462959,114.88,NA,NA,150.64916639999998,2016,2,0,1
01-03-2016,117.77,119.11,117.34,118.74,14139300,117.77,-73.3313175,115.37,NA,NA,152.72215309999999,2016,3,1,1
02-03-2016,118.68,118.97,118.07,118.34,8903000,118.68,77.2695668,115.9,NA,NA,152.57960699999998,2016,3,2,1
03-03-2016,120.73,121.3,118.81,118.86,18724100,120.73,172.7336574,116.47,NA,NA,154.6070277,2016,3,3,1
04-03-2016,120.54,122.37,120.22,121.13,16261100,120.54,-15.7377981,116.97,NA,NA,154.3864299,2016,3,4,1
07-03-2016,121.14,121.58,120.41,121.18,9358600,121.14,49.775881,117.41,NA,NA,152.0628712,2016,3,0,1
08-03-2016,120.58,121.88,120.47,121.79,11531000,120.58,-46.2273041,117.75,NA,NA,151.4576562,2016,3,1,1
09-03-2016,119.58,120.39,118.84,119.2,8672900,119.58,-82.9324917,118.05,NA,NA,153.16110229999998,2016,3,2,1
10-03-2016,121.5,121.76,120.42,120.5,18104900,121.5,160.5618113,118.4,NA,NA,155.7111937,2016,3,3,1
11-03-2016,119.41,121.39,119.36,121.19,10812300,119.41,-172.0161595,118.42,NA,NA,135.3171069,2016,3,4,1
14-03-2016,117.87,120.31,117.5,120.27,14236200,117.87,-128.96749590000002,118.4,NA,NA,137.8713629,2016,3,0,1
15-03-2016,117.96,118.04,117.36,117.78,9941800,117.96,7.6352198,118.56,NA,NA,118.12444479999999,2016,3,1,1
